Nro_;ZONA;DISTRITO;PROVINCIA;CANTÓN;PARROQUIA;TIPO_EDUCA;INSTITUCIO;SOSTENIMIE;JURISDICCI;MODALIDAD;Régimen;TIPOLOGIA;ZONA_INEC;NIVEL DE EDUCACIÓN;AUX_AÑO DE DOTACIÓN;AMIE;Longitud;Latitud
1;Zona 5;02D01;BOLIVAR;GUARANDA;ANGEL POLIBIO CHAVES;Ordinario;UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;02H00015;-79,00115439;-1,597017341
2;Zona 5;02D01;BOLIVAR;GUARANDA;JULIO E. MORENO (CATANAHUAN GRANDE);Ordinario;EEB CARLOS  GUALBERTO GALARZA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial/EGB;2027;02H00126;-79,0328664;-1,592138393
3;Zona 5;02D01;BOLIVAR;GUARANDA;SALINAS;Ordinario;UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;02H00131;-79,01632355;-1,404423699
4;Zona 5;02D01;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;UNIDAD EDUCATIVA FELIX GRANJA GAMAZO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;02H00185;-78,96064675;-1,290235556
5;Zona 5;02D01;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;UNIDAD EDUCATIVA SIMON RODRIGUEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;02H00207;-79,01679644;-1,297703577
6;Zona 5;02D01;BOLIVAR;GUARANDA;SAN LUIS DE PAMBIL;Ordinario;UNIDAD EDUCATIVA  DIEGO DE ALMAGRO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;02H00219;-79,24060078;-1,233023055
7;Zona 5;12D06;LOS RIOS;BUENA FE;PATRICIA PILAR;Ordinario;CENTINELA DE LOS RIOS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2027;12H01700;-79,37006146;-0,572009319
8;Zona 5;12D02;LOS RIOS;URDANETA;RICAURTE;Ordinario;UNIDAD EDUCATIVA 28 DE MAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;12H01018;-79,46619248;-1,572711436
9;Zona 5;02D03;BOLIVAR;SAN MIGUEL;BALSAPAMBA;Ordinario;UNIDAD EDUCATIVA 8 DE  NOVIEMBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;02H00543;-79,17416065;-1,765037499
10;Zona 3;05D01;COTOPAXI;LATACUNGA;ELOY ALFARO (SAN FELIPE);Ordinario;ESCUELA DE EDUCACION BASICA CLUB ROTARIO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;05H00024;-78,61553609;-0,943473421
11;Zona 3;05D01;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;05H00032;-78,60864952;-0,938603632
12;Zona 3;05D01;COTOPAXI;LATACUNGA;ELOY ALFARO (SAN FELIPE);Ordinario;UNIDAD EDUCATIVA RAMON PAEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;05H00039;-78,64089485;-0,879484854
13;Zona 3;05D01;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;UNIDAD EDUCATIVA DR JOSE MARIA VELASCO IBARRA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;05H00047;-78,6140232;-0,940211206
14;Zona 3;05D01;COTOPAXI;LATACUNGA;ALAQUEZ (ALAQUES);Ordinario;UNIDAD EDUCATIVA MANUEL GONZALO ALBAN RUMAZO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;05H00124;-78,59705735;-0,864862038
15;Zona 3;18D02;TUNGURAHUA;AMBATO;HUACHI GRANDE;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA DR ALONSO CASTILLO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;18H00193;-78,63519948;-1,293553139
16;Zona 3;05D01;COTOPAXI;LATACUNGA;JOSEGUANGO BAJO;Ordinario;UNIDAD EDUCATIVA FELIX VALENCIA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;05H00154;-78,59403327;-0,817458186
17;Zona 3;05D01;COTOPAXI;LATACUNGA;MULALO;Ordinario;UNIDAD EDUCATIVA MULALO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;05H00158;-78,58027968;-0,781302191
18;Zona 3;05D01;COTOPAXI;LATACUNGA;MULALO;Ordinario;UNIDAD EDUCATIVA GRAL LEONIDAS PLAZA GUTIERREZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;05H00166;-78,57533351;-0,729975047
19;Zona 3;05D01;COTOPAXI;LATACUNGA;POALO;Ordinario;UNIDAD EDUCATIVA POALO - GARCIA MORENO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;05H00174;-78,67267611;-0,883206016
20;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;SAN MIGUELITO;Ordinario;12 DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;18H00619;-78,540471;-1,203951452
21;Zona 3;18D01;TUNGURAHUA;AMBATO;IZAMBA;Ordinario;UNIDAD EDUCATIVA TARCILA ALBORNOZ DE GROSS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;18H00224;-78,56331021;-1,220284569
22;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;EMILIO MARIA TERAN (RUMIPAMBA);Ordinario;ESCUELA DE EDUCACIÓN BÁSICA GABRIEL URBINA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;18H00584;-78,51362486;-1,223590636
